Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,B7039_18A,B7056_18A,B5406_18A,B5395_18A,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.37,0.05965243,0.023193825,-0.014272952,-0.00254509,0.017468169,-0.008045226,0.028537779,-0.009974356,-0.003720023,0.051668225,0.016216336,0.001697309,-0.005278842,-0.036952157,0.037287297,-0.028263529,-0.008140797,-0.024229297,-0.01562896,-0.024065112,0.045308659,-0.025376531,0.043245039,0.044101337,0.017411665,0.015872146,0.00331344,0.018083052,-0.026345056,0.00943593,-0.003062735,-0.002338094
0.38,0.037542445,0.016785134,-0.048602366,-0.002535316,-0.014422701,0.000896425,0.014705687,0.018345957,-0.026760795,-0.016721668,-0.026515903,-0.008537524,-0.017668979,0.035839896,-0.01352447,-0.024570902,0.016177898,0.012622586,-0.016864922,-0.041847324,0.030118535,0.017119197,0.001069746,0.01533089,-0.017408891,-0.003010605,-0.009938818,-0.002974077,-0.010933679,0.038469591,-0.003064237,-0.002329087
0.39,0.041219813,-0.013854515,0.001666284,-0.002523286,0.010082915,-0.008045226,0.019733458,0.02737916,-0.010998466,-0.026487293,-0.015201511,0.024726636,-0.007750766,0.066845756,0.013086858,0.035655539,0.00280357,0.009055844,-0.019321587,-0.011363124,0.01619489,0.047133235,-0.043607988,0.014133075,0.010209517,0.015872146,-0.007531744,-0.002974077,0.041770178,0.059931078,-0.003058231,-0.00233284
0.4,0.0547391,0.009155739,0.027413106,-0.002518022,0.04441519,0.036632509,0.020992308,0.002904062,-0.017056205,-0.009397449,0.03506094,0.041358717,0.013291104,-0.020777841,0.049379887,0.011073629,0.017394787,0.001924267,0.016414497,0.002608205,0.012397358,-0.019135686,-0.043607988,0.045299151,-0.00179915,0.012095596,-0.046075445,0.020768599,0.026328283,0.027109423,-0.00306799,-0.002347101
0.41,0.038763148,0.061523903,0.022508836,-0.002515767,0.006420805,0.022594423,-0.010463685,-0.044764395,-0.020687797,-0.010618152,0.026264248,0.006812818,0.033112271,-0.050433297,0.013086858,-0.038097818,0.036849743,0.018565884,0.01272187,-0.001201724,0.022523472,-0.030381414,-0.010160723,0.023723224,-0.037817522,-0.030720566,-0.049684149,0.031327681,-0.025063318,0.014482775,-0.003078499,-0.00233359
0.42,-0.003000157,0.007874001,0.009021974,-0.002526293,-0.037677095,-0.064228087,-0.030582399,-0.05642211,0.016894601,0.0260182,0.006160794,0.011932142,0.013291104,0.00618444,-0.01958221,0.013537924,0.061168438,0.015001049,-0.003299859,-0.001201724,0.002271245,0.052122859,0.003572187,-0.002651593,-0.01981215,-0.001751755,-0.006322485,0.020768599,-0.019905847,0.01069478,-0.003061984,-0.002326835
0.43,-0.018960851,-0.087890159,-0.015498423,-0.002530053,0.001537993,-0.024646788,-0.012966127,-0.030604239,0.031436227,0.035783825,-0.007663669,0.018329389,-0.016417758,0.030445914,-0.006268916,0.024592916,0.023475414,-0.011152515,0.018886421,-0.036767101,-0.031906536,0.03962591,-0.02871541,0.022525409,0.006608443,0.041056777,-0.019574743,0.002274947,0.001914221,-0.019601545,-0.003054478,-0.002342597
0.44,0.019109828,-0.04705764,0.006570554,-0.002520278,0.050549223,0.074962587,0.007160216,-0.000941153,0.012042306,-0.014280261,-0.018978061,0.004253156,-0.005278842,0.023709159,-0.002637324,-0.00368162,-0.030025715,-0.01947237,-0.002063897,-0.040577983,-0.024311473,-0.004121038,-0.016325274,0.033313373,0.004197554,0.008319046,-0.020776373,0.01545854,-0.010933679,-0.017076216,-0.003063486,-0.002337343
0.45,0.037542445,0.010437478,0.011474824,-0.002532308,0.050549223,0.057048768,0.024768858,0.013157968,0.013263009,-0.021619739,-0.016460361,0.002975233,-0.004027621,0.011574607,-0.012319026,0.017215292,0.016177898,-0.008775959,-0.035358575,0.007689381,0.003537724,0.014616755,0.010957441,0.005740741,-0.006605669,-0.014347886,0.015360254,0.032609419,-0.026345056,-0.001928053,-0.003064987,-0.002318578
0.46,0.020330531,-0.043212425,-0.008142733,-0.002536819,0.022350981,-0.029773741,0.013446837,0.001622324,0.005984566,0.012575207,0.006160794,-0.0072596,-0.015197055,-0.003249307,-0.005063472,0.019679586,0.046577221,-0.001642475,-0.024250176,-0.008823489,0.007333348,0.014616755,0.010957441,0.003345111,-0.011404558,0.007060195,-0.020776373,0.022050337,-0.017372888,0.018270769,-0.003060483,-0.002319329
