Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,IW4-0626-0-CHAN-1,IW4-0626-0-CHAN-2,IW4-0626-0-CHAN-3,IW4-0626-0-CHAN-4,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.36,-0.012357076,0.039503155,0.036781604,-0.002527797,0.013006268,0.02961546,-0.036983143,-0.01406398,,,,,0.011643595,0.013127626,0.006598458,-0.002707126,-0.018114471,0.001151745,-0.011332703,-0.006379861,0.009337425,-0.025480769,0.015785569,0.044020491,0.013304115,0.000209378,0.008134856,0.002098141,0.038817655,0.025908485,-0.003058231,-0.002344098
0.37,-7.37508E-05,0.025465069,0.002452189,-0.002518022,0.022802411,0.034711896,-0.043277394,-0.001185562,,,,,0.021546549,0.009084047,-0.034531608,-0.026053073,-0.015684509,-0.01192313,0.030583191,0.054587584,0.005539894,-0.020475886,0.023231858,0.047613936,0.020506264,-0.002300693,0.011747375,0.007408199,-0.003601778,0.036005988,-0.003052976,-0.002335842
0.38,0.018358866,-0.024339618,-0.015938943,-0.002516519,-0.017602863,-0.030412616,0.009563793,0.012974595,,,,,0.019074625,-0.021917998,0.01628016,0.009583829,0.019578552,-0.038076694,0.047825623,0.012672644,0.003008842,0.0195174,0.022011155,0.030829268,0.015707375,-0.004826022,0.017770782,-0.022926273,-0.035706271,0.017069831,-0.003057481,-0.002327585
0.39,-0.004987081,0.085523663,-0.011034673,-0.002524789,-0.031091632,-0.052110614,0.018368114,0.00143895,,,,,0.009156412,0.013127626,0.025954232,0.018197415,0.013497925,-0.021435077,0.017018127,-0.043215532,0.028325081,-0.000486873,0.018288011,-0.001534623,0.0121063,-0.003559543,0.018972411,-0.012367191,-0.025421847,-0.00691317,-0.003072494,-0.002339595
0.4,-0.008679708,0.057386456,0.029425437,-0.002513511,0.033880292,0.019392071,-0.008060109,0.012974595,,,,,-0.000746542,0.049523652,0.011435494,0.026788114,0.011064148,-0.033321674,-0.001460266,0.022833091,0.016932487,-0.04173138,-0.021445876,-0.015923661,0.010908485,-0.006077243,0.026201263,0.032432614,-0.008728732,0.032217994,-0.00307925,-0.002347851
0.41,0.02940623,-0.043504657,0.049042041,-0.002503737,0.048559247,0.021955548,-0.008060109,0.041355942,,,,,-0.013136679,0.037392915,0.00417994,0.066125272,0.036599731,-0.020244892,0.002232361,0.050776702,-0.026104927,0.009522893,0.002113694,-0.000344438,-0.011911034,-0.012371493,0.008134856,0.035057125,0.020812284,0.056204811,-0.003073995,-0.002338094
0.42,0.040468852,0.049696026,0.018390948,-0.00251276,0.013006268,-0.011247577,-0.005542408,0.034886216,,,,,-0.019331747,0.009084047,-0.013970389,0.031709073,0.032952881,0.030870144,-0.005168152,-0.017811555,-0.012181282,0.049531438,0.059181566,-0.017129106,-0.015512108,0.007770108,-0.005117402,0.012657223,0.028563749,-0.013226494,-0.003071743,-0.002334341
0.43,0.020800273,0.077833233,0.018390948,-0.002523286,0.016668378,0.015546857,0.032200206,0.05423436,,,,,-0.016844564,-0.008440672,0.002966867,-0.018683078,-0.01082077,0.026117031,0.000996399,-0.026702661,0.046046257,0.013276555,0.020729417,-0.018319291,0.007299782,0.006511258,-0.001504884,-0.001869144,-0.026703585,-0.059937462,-0.003073995,-0.002341096
0.44,0.0244929,-0.034593524,0.014712626,-0.002528549,0.020330487,-0.003587665,0.056110729,0.061985825,,,,,-0.030485922,0.006387056,0.041693673,-0.027296664,-0.026628876,0.015416806,-0.016261292,0.002511245,0.057436943,0.034532048,-0.031333571,0.006857711,0.0121063,-0.012371493,-0.001504884,-0.013709965,-0.045990694,-0.015751824,-0.003072494,-0.002339595
0.45,0.022036235,-0.044786395,-0.029425328,-0.002527797,-0.010278644,-0.041887226,0.015850414,-0.006312515,,,,,-0.021803671,0.031998933,0.021117196,-0.01991141,0.000119781,0.02730531,-0.063105774,0.002511245,0.013134956,0.060777165,-0.007774001,-0.018319291,0.009703041,0.029178189,0.021379485,0.006065426,-0.003601778,-0.014489159,-0.003062735,-0.002334341
0.46,-0.018491109,-0.002672138,-0.015938943,-0.002521782,-0.012750568,-0.011247577,0.009563793,-0.029505874,,,,,0.033936686,0.027955354,-0.013970389,0.013276456,0.007417297,0.017795269,-0.005168152,0.019023162,0.000477791,0.023271062,0.028175706,-0.009926957,-0.001100182,0.0505939,0.006925597,0.033714352,0.018248807,-0.048573479,-0.003061234,-0.002334341
0.47,-0.030789693,0.007581769,0.029425437,-0.002514263,0.025274335,0.011732159,0.030941356,-0.003749038,,,,,0.028977579,0.007737459,0.006598458,0.014504789,0.003766632,-3.65331E-05,0.053990173,0.044426184,0.02452755,0.002015569,0.043068284,0.024832564,-0.015512108,0.011546658,-0.029207215,0.01924902,0.007964384,0.008234992,-0.003074746,-0.002334341
0.48,0.002382914,0.012708722,0.030651385,-0.002516519,0.03995329,-0.024003925,0.002003063,-0.003749038,,,,,-0.009413534,-0.017878233,0.012656198,-0.003935458,0.009851074,0.003530209,-0.00393219,0.040616256,0.013134956,0.012010075,0.05295598,0.003256636,0.003698708,0.007770108,0.004518523,-0.000526371,-0.029297579,0.02212049,-0.003084505,-0.002337343
0.49,0.008532206,-0.015428485,0.015938575,-0.002529301,0.014257489,-0.025285663,-0.01560558,0.016819809,,,,,0.009156412,-0.003046691,0.02232264,0.014504789,-0.009607697,-0.00716811,-0.017497253,0.010132056,0.011868477,0.033265569,0.051735276,0.027228194,0.044523598,0.026660489,0.035833373,-0.007118168,-0.021576632,-0.037213311,-0.003074746,-0.002339595
0.5,-0.011136373,-0.005174579,-0.01348657,-0.002535316,-0.010278644,0.023206769,0.009563793,0.016819809,,,,,0.002976603,0.038739503,0.02838038,0.015733121,-0.008390808,-0.014301593,0.009617615,-0.001299638,0.029589653,0.010774114,0.023231858,0.071593123,0.05532682,0.026660489,-0.000295625,0.008689938,0.031096708,-0.051098809,-0.003062735,-0.002334341
0.51,0.002382914,0.067579327,-0.046590036,-0.002530053,-0.016412677,0.027051983,0.009563793,-0.01406398,,,,,-0.028013998,0.01043445,0.002966867,0.009583829,0.028085327,0.021362011,0.000996399,0.00124095,-0.003321648,-0.022978328,-0.006553298,0.012839156,0.019308449,-0.009861423,-0.037637696,0.029747067,0.019530546,-0.057412133,-0.003069491,-0.002335091
0.52,0.026949565,0.079114972,-0.020842736,-0.002519526,-0.012750568,-0.003587665,0.000759472,0.019444321,,,,,0.012864298,-0.035399138,0.036856637,0.020646451,0.011064148,0.024926846,0.018254089,-0.01527192,-0.015978813,0.007020451,0.003334398,-0.037507219,-0.014306664,-0.038814975,-0.012342439,0.006065426,-0.016449679,-0.032162652,-0.003071743,-0.002339595
