Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A,IW4-0631-0-CHAN-1,IW4-0631-0-CHAN-2,IW4-0631-0-CHAN-3,IW4-0631-0-CHAN-4
0.31,-5.27347E-05,-1.26029E-05,-0.004294614,-0.003216214,0.00213267,-0.018263075,-0.004690213,0.073071063,4.43193E-05,-2.38341E-05,0.058964934,0.012050205,0.053168521,-0.033559911,-0.017710293,0.001059139,-0.05858814,-0.001372842,-0.013700247,-0.033858355,-0.0763524,-1.439257482,0.065333198,-0.002764982,0.042838489,0.065564099,0.024695228,0.019748912,-0.000442867,-0.001963339,-0.001847052,-0.000946442,0.027217192,0.012745759,0.022926331,0.028858521,0.03132764,0.018854478,0.027568705,0.072165798,-0.002768252,-0.003368793,-0.003495285,-0.003069831
0.32,-7.23217E-06,-1.07126E-05,0.031883974,0.027637058,0.060535685,0.016221788,0.02387424,0.018230975,1.97138E-05,-4.08177E-05,0.030019011,0.015681797,0.037398563,-0.028417699,0.032704746,0.028402889,0.00794018,0.044311972,0.007110834,-0.02246004,-0.057416243,-1.396531918,-0.004887749,0.027142244,0.066718494,0.030133191,0.040503334,0.031772838,0.009479161,-0.001959589,-0.001835048,-0.000956199,0.001704496,0.00193443,0.013252258,-0.015124938,0.0386366,0.007624009,0.027568705,0.07957394,-0.002785488,-0.003358294,-0.003495285,-0.003065331
0.33,1.55182E-05,3.08774E-05,0.041527529,0.009128147,0.048366801,0.069871691,0.017648655,0.025555194,-1.10688E-06,2.58615E-06,0.068623748,-0.043522305,0.011908756,0.015268214,0.008687412,0.04830035,-0.017145269,0.013397666,-0.025943518,-0.045256671,-0.047314924,-1.334274152,0.004023384,0.078716951,0.08806554,0.039914075,-0.028008629,0.024570689,0.024364109,-0.001961089,-0.001830547,-0.000958451,0.024653715,0.036770246,0.01084137,0.001972535,0.036179935,0.003900865,-0.002979391,0.096846889,-0.002801975,-0.003357544,-0.00350428,-0.003068331
0.34,7.23959E-05,8.19195E-05,0.011376162,-0.020489163,0.03010966,0.045518663,0.037424045,0.037731708,8.02851E-05,4.78773E-05,0.121693816,-0.107555813,0.02647327,0.056375391,0.020711338,0.03835162,-0.067316167,-0.025573282,-0.029617071,-0.059195575,-0.107922835,-1.275678494,0.027033638,0.081097322,0.071753895,0.038693372,-0.066216637,0.005344615,0.026847477,-0.001970088,-0.001838049,-0.0009577,0.04122476,0.009141824,-0.002464294,0.043514588,0.034974491,0.016352036,-0.023754232,0.061061214,-0.002791483,-0.003368793,-0.003493786,-0.003076581
0.35,4.96446E-05,6.67959E-05,0.025849123,-0.004436917,0.034984843,0.020067003,0.07465549,-0.015887677,7.27135E-05,4.78773E-05,0.074650969,-0.070110745,0.037398563,0.04354275,0.027913486,0.064474667,-0.040979498,0.041626425,-0.010028601,-0.023726519,-0.097806257,-1.209759572,0.007838081,0.099041658,0.00641576,0.052121106,-0.016167809,0.013767467,0.015681858,-0.001960339,-0.001851553,-0.000962204,-0.014866548,-0.035304168,-0.026634216,0.015415528,0.021562015,0.001398423,-0.002979391,-0.003101994,-0.002780992,-0.003366543,-0.003484041,-0.003081081
0.36,-2.23997E-05,2.33155E-05,0.047547121,0.047381931,0.022815959,0.036668566,0.001535373,0.002392352,-2.57143E-05,-8.73687E-06,-0.002543245,-0.033855862,0.03617786,0.00498379,-0.009287441,0.059469784,-0.040979498,0.052368613,0.013233423,-0.023726519,-0.023328108,-1.140176633,-0.007481743,0.101422029,0.018989002,0.085110608,0.003607582,0.044956432,-0.004166011,-0.001958839,-0.001851553,-0.000962204,-0.048008638,0.00193443,-0.014549255,0.016636231,-0.008909786,-0.024724624,-0.002979391,-0.014206578,-0.002785488,-0.003357544,-0.003495285,-0.003073581
0.37,6.03825E-06,2.5206E-05,0.027054568,0.048617893,0.022815959,0.020067003,-0.053030056,0.040173114,-1.24634E-05,-3.13824E-05,0.028813567,-0.050777859,0.064093814,-0.00144016,0.024312412,0.034628475,-0.052301519,0.001282187,0.018129587,-0.061728534,-0.00565843,-1.080361226,0.00142939,0.047527986,0.059180652,0.072873059,-0.020104577,0.048557506,0.024364109,-0.001967838,-0.001829796,-0.000967458,-0.016148287,0.030764005,0.036201477,0.047176698,-0.00646838,-0.002324721,-0.012760275,-0.01544254,-0.002789985,-0.003356044,-0.00350353,-0.003062331
0.38,7.23959E-05,6.86863E-05,0.036705752,-0.00074429,0.022815959,0.034044054,0.002756076,-0.028064191,8.407E-05,-1.06237E-05,0.034856047,-0.020565457,0.054389224,-0.037420385,0.065114414,0.027182186,-0.004633062,0.028198691,-0.019820929,-0.036391314,-0.000607771,-1.066933492,-0.001073052,0.011578279,0.013953602,0.038693372,-0.006920983,0.018528209,0.045451756,-0.001963339,-0.001816292,-0.000961453,0.006800932,-0.00527344,0.042243958,0.043514588,0.014253055,0.030023911,-0.020092123,0.003066371,-0.002788486,-0.003351544,-0.003490787,-0.003062331
0.39,-2.6192E-05,1.95347E-05,0.036705752,0.006671482,0.016727702,0.040452745,0.0001926,-0.081683576,6.13551E-05,-6.72379E-05,-0.027888093,-0.003651089,-0.00628735,-0.039983862,0.01588956,0.009787167,0.025487788,0.05908248,-0.018598318,0.009217206,-0.00565843,-1.086464742,-0.033055474,0.009197908,-0.022469128,0.020352307,0.01282389,-0.007838978,0.018165226,-0.001965588,-0.001821544,-0.000944941,-0.002110201,-0.023291686,0.01688385,0.043514588,0.017899906,0.046198228,-0.015201681,0.031447719,-0.002785488,-0.003356044,-0.003476545,-0.003064581
0.4,-0.000168385,-2.58362E-05,0.001732607,0.012836032,0.03376414,-0.018263075,-0.049367947,-0.025622785,-8.25007E-05,-0.000125739,-0.017023835,-0.053188748,-0.008721127,0.035821802,-0.01169833,0.022238339,-0.01964771,0.018768759,-0.019820929,-0.007254657,-0.01322679,-1.068153241,-0.038121392,0.02354117,0.012702381,0.016690198,-0.002984215,-0.004237904,0.015681858,-0.001966338,-0.001823795,-0.000951696,-0.000828462,0.012745759,0.022926331,0.03984485,0.004502689,0.048700669,0.003131754,0.032683681,-0.002789235,-0.003365043,-0.003477295,-0.003066831
0.41,-0.000100133,6.11245E-05,-0.010329466,-0.014309353,0.052021281,-0.028455946,-0.020803494,0.031628192,-7.30366E-05,-0.00011253,0.005894866,-0.058018155,0.021620975,0.034540064,0.023091709,0.04830035,-0.053522222,-3.00688E-05,-0.05165267,-0.026259478,-0.014493269,-0.998572209,0.002741645,0.037945467,0.04157201,0.003262464,-0.010888268,0.020969615,0.00079691,-0.001955089,-0.001820794,-0.000956199,0.000422758,0.035569093,0.030189514,0.042293885,-0.004042233,0.036249497,-0.009090536,0.019107173,-0.002792233,-0.003367293,-0.003487789,-0.003069831
0.42,7.93442E-06,0.000142414,-0.010329466,-0.001980252,0.013080851,0.023851183,0.021310764,0.0279966,4.05363E-05,-9.17708E-05,-0.008570466,-0.016941494,0.017981754,-0.005285375,-0.006876553,0.060751522,-0.035974615,-0.017516641,-0.028392553,-0.023726519,-0.044781965,-0.946080068,0.033411811,0.055950838,0.046622669,0.002041761,-0.008263756,0.040195689,-0.020290737,-0.001961839,-0.001822294,-0.000949444,0.013179106,-0.006474116,0.022926331,0.042293885,0.03132764,0.015070298,-0.011539571,0.006770443,-0.002785488,-0.003369543,-0.003493036,-0.003071331
