Time,A2147,B5401_18A,B7049_18A,B6182_18A,P-0463-0-CHAN-1,B7048_18A,B7052_18A,B6181_18A,B6876_18B,B7030_18A,B4531_18A,B5397_18A,A2148,A2149,B7033_18A,B6191_18A,IW4-0624-0-CHAN-1,B4520_18A,B7060_18A,B6190_18A,B7035_18A,B7042_18A,B5395_18A,B7051_18A,B7039_18A,B5410_18A,B7032_18A,B5382_18A,IW4-0634-0-CHAN-1,B5406_18A,B7054_18A,B5381_18A,A2146_18A,B7031_18A,B6192_18A,B5404_18A
0.39,3.25033E-05,0.006417256,-0.051016888,0.016216948,-0.002069948,-0.050688772,-0.038871187,0.010092938,0.000233425,0.035203308,-0.006511193,-0.012258515,6.71532E-05,0.00017422,-0.002999429,0.006384027,-0.001562525,-0.037470927,-0.017954703,0.032767667,0.032504744,-0.05107769,0.03869955,0.031753365,0.051152703,0.039534707,0.014825137,0.022614224,-0.003203099,0.033738813,-0.022532689,0.040391762,2.20713E-05,-0.030726411,0.03768875,0.002057379
0.4,3.25033E-05,0.03899191,-0.044882854,0.027615263,-0.002070699,-0.005400687,-0.036452669,-0.005928791,0.042103542,0.031510681,-0.01298092,0.02459909,0.00016191,8.33979E-05,0.021559592,0.006384027,-0.001558024,-0.004298319,-0.017954703,0.005797757,0.032504744,-0.029364433,0.027171535,0.056968514,0.038991448,0.030760903,0.014825137,0.006592496,-0.003200849,0.013597212,0.011616481,-0.012647789,5.2276E-05,0.008931182,0.025242108,0.014571493
0.41,6.66123E-05,0.040245038,-0.026480755,-0.011676119,-0.002084969,0.061860056,-0.011069673,0.02077409,0.034718288,0.006913513,0.017902869,0.04425241,0.000118324,8.15054E-05,0.025240774,0.027994287,-0.001558774,0.021244894,0.037274484,0.007144346,0.034934706,0.014001046,0.023326321,0.047363107,0.014668938,0.010703225,0.026742251,-0.000823276,-0.003202349,0.000993452,0.012837184,-0.00633065,-4.36336E-06,-0.007893064,-0.028278333,0.018325155
0.42,-3.57147E-05,-0.017387408,0.005425373,0.017468169,-0.002068445,0.041047067,0.033669096,-0.023278034,0.016224635,-0.002943665,0.015278358,0.043024078,2.35636E-05,-1.87771E-05,0.046110983,0.011469018,-0.001558774,-0.000453104,0.058140878,0.036815061,-0.007610612,-0.004065361,-0.013813572,0.023345773,0.014668938,-0.015610557,0.058907778,-0.006957309,-0.003210599,0.045076094,-0.01520847,-0.017698448,4.09436E-05,0.016141436,-0.019565713,0.009564703
0.43,-4.32943E-05,0.015187245,0.026284138,0.028881743,-0.002053424,-0.029936819,0.050598723,-0.05130843,0.018727077,0.005662292,-0.011699181,-0.00734137,1.78788E-05,2.85262E-05,0.027697439,0.012739313,-0.001561775,-0.00554954,0.017636423,0.015235318,-0.02584105,-0.007681694,-0.018940525,0.020942513,0.014668938,-0.010598044,0.043420107,0.010285123,-0.003206849,0.017381391,0.03355862,-0.027815025,2.96187E-05,0.041378043,0.01404016,0.0033086
0.44,3.81881E-05,0.066555005,-0.016654095,-0.025622652,-0.002068445,-0.040984183,0.015534025,-0.007256306,0.031056178,0.01677069,-0.029643517,-0.040510163,8.24455E-07,6.25847E-05,-0.033696298,0.024175775,-0.001575277,0.021244894,0.004140024,-0.015781985,0.000899977,-0.013708915,0.004115505,0.013740365,0.00128698,0.014464517,0.01365021,0.049713834,-0.0031866,-0.011595049,0.055500759,0.022722084,-0.000111968,-0.018708923,0.03768875,0.037097281
0.45,-6.79285E-05,0.016440373,0.002968708,-0.012957857,-0.002063188,0.006806345,0.022789579,0.039458477,0.024891628,0.022904724,-0.046306115,-0.01962851,-4.27652E-05,-5.85115E-05,-0.012822275,-0.021577704,-0.001570776,0.019993673,0.010281687,0.005797757,0.011840529,-0.019720878,-0.008694248,-0.010276969,0.00128698,-0.004338126,0.023171694,0.023865445,-0.00319035,-0.002775469,0.005543483,0.026506264,-9.87548E-05,-0.024717548,0.03768875,0.055869406
0.46,-0.000117197,-0.00611164,0.054512898,0.022549345,-0.002055677,0.026337595,0.065094572,0.054137432,0.045765651,0.020463317,0.005024451,-0.00980185,-5.22386E-05,9.28587E-05,0.021559592,0.005113733,-0.001563275,-0.001734843,-0.010584707,0.004447355,0.017917342,0.003167305,-0.026623325,-0.027084525,0.003728386,-0.014359336,0.016030581,-0.024230258,-0.003216598,-0.02166585,-0.037150609,-0.011381309,-5.85915E-07,0.016141436,0.000348884,0.000804251
0.47,-1.10803E-05,0.046509248,0.025048176,0.01493521,-0.002059432,0.009247751,0.037293058,-0.008599079,0.058094753,0.011826843,0.03590824,-0.022085175,-4.0869E-05,-4.52667E-05,-0.00791276,0.066122186,-0.001564775,-0.004298319,-0.017954703,-0.034660922,0.01548738,-0.000449028,-0.006130772,-0.004272636,-0.012079719,-0.004338126,-0.01256439,-0.025481479,-0.003212849,-0.02670125,-0.021311986,-0.015180748,-4.77816E-05,-0.018708923,-0.00960843,-0.021719629
0.48,1.73437E-05,0.045256596,-0.004401287,-0.004077242,-0.002056428,0.010407419,-0.019523043,-0.01526717,0.011341823,0.011826843,-0.00138424,-0.026998505,-5.03461E-05,-0.000262861,-0.018960123,0.01655401,-0.001559524,-0.015803446,-0.020403738,-0.010388003,0.004546828,-0.011298027,0.004115505,0.018546883,8.15355E-05,-0.010598044,-0.029242246,-0.027922885,-0.00319185,-0.020414629,0.023823512,0.006288368,-4.02342E-05,-0.03312967,0.007816869,0.002057379
